feature_set,model,split,label,precision,recall,f1-score,support
v1_yellow_related,dummy_most_frequent,train,accuracy,0.578043646837266,0.578043646837266,0.578043646837266,0.578043646837266
v1_yellow_related,dummy_most_frequent,train,macro avg,0.289021823418633,0.5,0.3663039663039663,9027.0
v1_yellow_related,dummy_most_frequent,train,weighted avg,0.33413445764892585,0.578043646837266,0.4234793610665993,9027.0
v1_yellow_related,dummy_most_frequent,validation,No,0.0,0.0,0.0,664.0
v1_yellow_related,dummy_most_frequent,validation,Yes,0.6210045662100456,1.0,0.7661971830985915,1088.0
v1_yellow_related,dummy_most_frequent,validation,accuracy,0.6210045662100456,0.6210045662100456,0.6210045662100456,0.6210045662100456
v1_yellow_related,dummy_most_frequent,validation,macro avg,0.3105022831050228,0.5,0.38309859154929576,1752.0
v1_yellow_related,dummy_most_frequent,validation,weighted avg,0.3856466712537269,0.6210045662100456,0.4758119493214998,1752.0
v1_yellow_related,dummy_most_frequent,test,No,0.0,0.0,0.0,744.0
v1_yellow_related,dummy_most_frequent,test,Yes,0.5746140651801029,1.0,0.7298474945533769,1005.0
v1_yellow_related,dummy_most_frequent,test,accuracy,0.5746140651801029,0.5746140651801029,0.5746140651801029,0.5746140651801029
v1_yellow_related,dummy_most_frequent,test,macro avg,0.28730703259005147,0.5,0.36492374727668847,1749.0
v1_yellow_related,dummy_most_frequent,test,weighted avg,0.3301813239028036,0.5746140651801029,0.41938063580682894,1749.0
v1_yellow_related,logistic_regression,train,No,0.6270505523937061,0.49173011289052243,0.5512065921130076,3809.0
v1_yellow_related,logistic_regression,train,Yes,0.6794701986754967,0.786508240705251,0.7290815420145674,5218.0
v1_yellow_related,logistic_regression,train,accuracy,0.6621247369004098,0.6621247369004098,0.6621247369004098,0.6621247369004098
v1_yellow_related,logistic_regression,train,macro avg,0.6532603755346014,0.6391191767978868,0.6401440670637875,9027.0
v1_yellow_related,logistic_regression,train,weighted avg,0.6573513958963519,0.6621247369004098,0.6540260768351012,9027.0
v1_yellow_related,logistic_regression,validation,No,0.44181818181818183,0.36596385542168675,0.400329489291598,664.0
v1_yellow_related,logistic_regression,validation,Yes,0.6497504159733777,0.7178308823529411,0.6820960698689956,1088.0
