split,rows,consistent_rows,conflicting_rows,consistency_rate,conflict_rate,outcome_conflict_rate,btts_conflict_rate,over25_conflict_rate
test,1749,640,1109,0.36592338479130937,0.6340766152086906,0.2447112635791881,0.37507146941109204,0.24013722126929674
train,9027,3612,5415,0.4001329345297441,0.5998670654702559,0.23839592334108783,0.33012074886451753,0.23906059598980836
validation,1752,661,1091,0.377283105022831,0.622716894977169,0.2539954337899543,0.3476027397260274,0.2654109589041096
