split,task,conflict_count,conflict_rate
test,outcome,428,0.2447112635791881
test,btts,656,0.37507146941109204
test,over25,420,0.24013722126929674
train,outcome,2152,0.23839592334108783
train,btts,2980,0.33012074886451753
train,over25,2158,0.23906059598980836
validation,outcome,445,0.2539954337899543
validation,btts,609,0.3476027397260274
validation,over25,465,0.2654109589041096
