feature_set,model,split,label,precision,recall,f1-score,support
v1_only,dummy_most_frequent,train,No,0.0,0.0,0.0,4418.0
v1_only,dummy_most_frequent,train,Yes,0.5105793729921347,1.0,0.6760046934584922,4609.0
v1_only,dummy_most_frequent,train,accuracy,0.5105793729921347,0.5105793729921347,0.5105793729921347,0.5105793729921347
v1_only,dummy_most_frequent,train,macro avg,0.25528968649606737,0.5,0.3380023467292461,9027.0
v1_only,dummy_most_frequent,train,weighted avg,0.26069129612504144,0.5105793729921347,0.3451540525257772,9027.0
v1_only,dummy_most_frequent,validation,No,0.0,0.0,0.0,860.0
v1_only,dummy_most_frequent,validation,Yes,0.5091324200913242,1.0,0.6747352496217852,892.0
v1_only,dummy_most_frequent,validation,accuracy,0.5091324200913242,0.5091324200913242,0.5091324200913242,0.5091324200913242
v1_only,dummy_most_frequent,validation,macro avg,0.2545662100456621,0.5,0.3373676248108926,1752.0
v1_only,dummy_most_frequent,validation,weighted avg,0.2592158211880486,0.5091324200913242,0.3435295905608633,1752.0
v1_only,dummy_most_frequent,test,No,0.0,0.0,0.0,878.0
v1_only,dummy_most_frequent,test,Yes,0.49799885648942255,1.0,0.6648854961832061,871.0
v1_only,dummy_most_frequent,test,accuracy,0.49799885648942255,0.49799885648942255,0.49799885648942255,0.49799885648942255
v1_only,dummy_most_frequent,test,macro avg,0.24899942824471127,0.5,0.33244274809160307,1749.0
v1_only,dummy_most_frequent,test,weighted avg,0.24800286106477246,0.49799885648942255,0.33111221679563896,1749.0
v1_only,logistic_regression,train,No,0.5862155388471177,0.5294250792213672,0.5563748810656518,4418.0
v1_only,logistic_regression,train,Yes,0.5872543180464562,0.6417878064656107,0.613311217084802,4609.0
v1_only,logistic_regression,train,accuracy,0.5867951700454193,0.5867951700454193,0.5867951700454193,0.5867951700454193
v1_only,logistic_regression,train,macro avg,0.586734928446787,0.585606442843489,0.5848430490752269,9027.0
