feature_set,model,split,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,experiment_type,threshold,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes
v1_only,dummy_most_frequent,validation,0.5091324200913242,0.5,0.6747352496217852,0.5091324200913242,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_only,dummy_most_frequent,test,0.4979988564894225,0.5,0.6648854961832061,0.4979988564894225,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_only,logistic_regression,validation,0.5308219178082192,0.5329804984878507,0.4737516005121639,0.5522388059701493,0.4147982062780269,0.6511627906976745,0.4147982062780269,previous_reference,0.5,,,,
v1_only,logistic_regression,test,0.5374499714122356,0.5364928903755273,0.3903541823662396,0.5679824561403509,0.2973593570608496,0.775626423690205,0.2973593570608496,previous_reference,0.5,,,,
v1_only,random_forest_reference,validation,0.5342465753424658,0.5350505787881947,0.5177304964539007,0.5475,0.4910313901345291,0.5790697674418605,0.4910313901345291,previous_reference,0.5,,,,
v1_only,random_forest_reference,test,0.5420240137221269,0.5417443621214063,0.5064695009242144,0.5465425531914894,0.4718714121699196,0.6116173120728929,0.4718714121699196,previous_reference,0.5,,,,
v1_only,catboost_classifier,validation,0.5616438356164384,0.5609344040045886,0.5821545157780196,0.5655391120507399,0.5997757847533632,0.522093023255814,0.5997757847533632,previous_reference,0.5,,,,
v1_only,catboost_classifier,test,0.5563178959405375,0.5559858409023744,0.515,0.5651577503429356,0.4730195177956372,0.6389521640091116,0.4730195177956372,previous_reference,0.5,,,,
v1_corners_related,dummy_most_frequent,validation,0.5091324200913242,0.5,0.6747352496217852,0.5091324200913242,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_corners_related,dummy_most_frequent,test,0.4979988564894225,0.5,0.6648854961832061,0.4979988564894225,1.0,0.0,1.0,previous_reference,0.5,,,,
v1_corners_related,logistic_regression,validation,0.5268264840182648,0.5286395870268016,0.4802507836990595,0.5448079658605974,0.429372197309417,0.627906976744186,0.429372197309417,previous_reference,0.5,,,,
v1_corners_related,logistic_regression,test,0.531160663236135,0.5302011930883519,0.3815987933634992,0.5560439560439561,0.2904707233065442,0.7699316628701595,0.2904707233065442,previous_reference,0.5,,,,
v1_corners_related,random_forest_reference,validation,0.547945205479452,0.5481697778704766,0.5469107551487414,0.5584112149532711,0.5358744394618834,0.5604651162790698,0.5358744394618834,previous_reference,0.5,,,,
v1_corners_related,random_forest_reference,test,0.5420240137221269,0.5417947061608028,0.5130699088145897,0.5452196382428941,0.4845005740528129,0.5990888382687927,0.4845005740528129,previous_reference,0.5,,,,
v1_corners_related,catboost_classifier,validation,0.555365296803653,0.555039628741266,0.5674625208217657,0.5621562156215621,0.5728699551569507,0.5372093023255814,0.5728699551569507,previous_reference,0.5,,,,
v1_corners_related,catboost_classifier,test,0.5494568324757004,0.5491704348417367,0.5135802469135803,0.5554072096128171,0.4776119402985074,0.6207289293849658,0.4776119402985074,previous_reference,0.5,,,,
v1_corners_related,logistic_c_0_1__yes_1_4__default_threshold,train,0.5609837155201064,0.5536043794489122,0.677306408272942,0.5421011470281544,0.9023649381644608,0.20484382073336352,0.9023649381644608,selected_logistic_tuned,0.5,905.0,3513.0,450.0,4159.0
v1_corners_related,logistic_c_0_1__yes_1_4__default_threshold,validation,0.5519406392694064,0.547859526540828,0.6367422489588154,0.5421591804570528,0.7713004484304933,0.3244186046511628,0.7713004484304933,selected_logistic_tuned,0.5,279.0,581.0,204.0,688.0
v1_corners_related,logistic_c_0_1__yes_1_4__default_threshold,test,0.5431675242995998,0.5436476283380713,0.591304347826087,0.533210332103321,0.6636050516647531,0.42369020501138954,0.6636050516647531,selected_logistic_tuned,0.5,372.0,506.0,293.0,578.0
v1_only,logistic_c_0_05__yes_1_2__threshold_tuned,train,0.5705106901517669,0.5647395941630527,0.6656894024316634,0.5523755008586148,0.8374918637448471,0.2919873245812585,0.8374918637448471,selected_threshold_tuned,0.5,1290.0,3128.0,749.0,3860.0
v1_only,logistic_c_0_05__yes_1_2__threshold_tuned,validation,0.5485159817351598,0.5474788820523516,0.5767790262172284,0.5516888433981576,0.6042600896860987,0.4906976744186046,0.6042600896860987,selected_threshold_tuned,0.5,422.0,438.0,353.0,539.0
v1_only,logistic_c_0_05__yes_1_2__threshold_tuned,test,0.5506003430531733,0.5504192285462473,0.5282112845138055,0.5534591194968553,0.505166475315729,0.5956719817767654,0.505166475315729,selected_threshold_tuned,0.5,523.0,355.0,431.0,440.0
