Division,SeasonStartYear,matches
G1,2024,156
I1,2000,306
I1,2001,306
I1,2002,306
I1,2003,194
I1,2004,300
I1,2005,380
I1,2006,380
I1,2007,380
I1,2008,380
I1,2009,380
I1,2010,380
I1,2011,380
I1,2012,380
I1,2013,380
I1,2014,380
I1,2015,380
I1,2016,380
I1,2017,380
I1,2018,380
I1,2019,282
I1,2020,478
I1,2021,380
I1,2022,380
I1,2023,380
I1,2024,380
I2,2000,380
I2,2001,332
I2,2002,159
I2,2003,328
I2,2004,94
I2,2005,462
I2,2006,462
I2,2007,462
I2,2008,462
I2,2009,462
I2,2010,462
I2,2011,462
I2,2012,462
I2,2013,462
I2,2014,462
I2,2015,462
I2,2016,462
I2,2017,462
I2,2018,342
I2,2019,310
I2,2020,450
I2,2021,380
I2,2022,380
I2,2023,380
I2,2024,380
IRL,2011,97
IRL,2012,189
IRL,2013,202
IRL,2014,195
IRL,2015,200
IRL,2016,221
IRL,2017,198
IRL,2018,187
IRL,2019,109
IRL,2020,156
IRL,2021,198
IRL,2022,176
IRL,2023,182
IRL,2024,57
JAP,2011,153
JAP,2012,279
JAP,2013,313
JAP,2014,301
JAP,2015,335
JAP,2016,307
JAP,2017,306
JAP,2018,328
JAP,2019,198
JAP,2020,440
JAP,2021,372
JAP,2022,288
JAP,2023,346
JAP,2024,123
MEX,2011,39
MEX,2012,303
MEX,2013,330
MEX,2014,312
MEX,2015,338
MEX,2016,333
MEX,2017,349
MEX,2018,339
MEX,2019,281
MEX,2020,327
MEX,2021,342
MEX,2022,359
MEX,2023,312
MEX,2024,116
N1,2000,306
N1,2001,306
N1,2002,130
N1,2003,306
N1,2004,226
N1,2005,306
N1,2006,306
N1,2007,274
N1,2008,306
N1,2009,306
N1,2010,306
N1,2011,306
N1,2012,306
N1,2013,306
N1,2014,306
N1,2015,306
N1,2016,306
N1,2017,306
N1,2018,306
N1,2019,232
N1,2020,306
N1,2021,306
N1,2022,306
N1,2023,306
N1,2024,306
NOR,2011,118
NOR,2012,247
NOR,2013,227
NOR,2014,251
NOR,2015,231
NOR,2016,262
NOR,2017,235
NOR,2018,253
NOR,2019,195
NOR,2020,251
NOR,2021,252
NOR,2022,247
NOR,2023,231
NOR,2024,92
P1,2000,306
P1,2001,306
P1,2002,98
P1,2003,290
P1,2004,306
P1,2005,306
P1,2006,240
P1,2007,208
P1,2008,240
P1,2009,240
P1,2010,240
P1,2012,240
P1,2013,240
P1,2014,306
P1,2015,306
P1,2016,306
P1,2017,306
P1,2018,306
P1,2019,259
P1,2020,353
P1,2021,306
P1,2022,306
P1,2023,306
P1,2024,306
POL,2011,26
POL,2012,232
POL,2013,281
POL,2014,300
POL,2015,285
POL,2016,299
POL,2017,295
POL,2018,303
POL,2019,254
POL,2020,281
POL,2021,306
POL,2022,310
POL,2023,286
POL,2024,109
ROM,2011,40
ROM,2012,266
ROM,2013,309
ROM,2014,303
ROM,2015,279
ROM,2016,264
ROM,2017,280
ROM,2018,265
ROM,2019,239
ROM,2020,337
ROM,2021,326
ROM,2022,329
ROM,2023,300
ROM,2024,103
RUS,2011,35
RUS,2012,226
RUS,2013,229
RUS,2014,242
RUS,2015,248
RUS,2016,246
RUS,2017,254
RUS,2018,239
RUS,2019,207
RUS,2020,265
RUS,2021,247
RUS,2022,248
RUS,2023,233
RUS,2024,89
SC0,2001,228
SC0,2002,175
SC0,2003,111
SC0,2004,127
SC0,2005,228
SC0,2006,228
SC0,2007,228
SC0,2008,228
SC0,2009,228
SC0,2010,228
SC0,2011,228
SC0,2012,228
SC0,2013,228
SC0,2014,228
SC0,2015,228
SC0,2016,228
SC0,2017,228
SC0,2018,228
SC0,2019,179
SC0,2020,228
SC0,2021,228
SC0,2022,228
SC0,2023,228
SC0,2024,200
SC1,2001,180
SC1,2002,79
SC1,2003,180
SC1,2004,164
SC1,2005,180
SC1,2006,180
SC1,2007,180
SC1,2008,180
SC1,2009,180
SC1,2010,180
SC1,2011,180
SC1,2012,180
SC1,2013,180
SC1,2014,180
SC1,2015,180
SC1,2016,180
SC1,2017,180
SC1,2018,180
SC1,2019,137
SC1,2020,135
SC1,2021,180
SC1,2022,180
SC1,2023,180
SC1,2024,159
SC2,2001,180
SC2,2002,79
SC2,2003,180
SC2,2004,180
SC2,2005,180
SC2,2006,180
SC2,2007,180
SC2,2008,180
SC2,2009,180
SC2,2010,180
SC2,2011,180
SC2,2012,180
SC2,2013,180
SC2,2014,180
SC2,2015,180
SC2,2016,180
SC2,2017,180
SC2,2018,180
SC2,2019,139
SC2,2020,110
SC2,2021,180
SC2,2022,180
SC2,2023,180
SC2,2024,164
SC3,2001,180
SC3,2002,79
SC3,2003,111
SC3,2004,164
SC3,2005,180
SC3,2006,180
SC3,2007,180
SC3,2008,180
SC3,2009,180
SC3,2010,180
SC3,2011,180
SC3,2012,180
SC3,2013,180
SC3,2014,180
SC3,2015,180
SC3,2016,180
SC3,2017,180
SC3,2018,180
SC3,2019,137
SC3,2020,110
SC3,2021,180
SC3,2022,180
SC3,2023,180
SC3,2024,169
SP1,2000,380
SP1,2001,380
SP1,2002,380
SP1,2003,380
SP1,2004,268
SP1,2005,380
SP1,2007,380
SP1,2008,380
SP1,2009,380
SP1,2010,380
SP1,2011,380
SP1,2012,380
SP1,2013,380
SP1,2014,380
SP1,2015,380
SP1,2016,380
SP1,2017,380
SP1,2018,380
SP1,2019,323
SP1,2020,437
SP1,2021,380
SP1,2022,380
SP1,2023,380
SP1,2024,380
SP2,2000,462
SP2,2001,414
SP2,2002,239
SP2,2003,158
SP2,2004,462
SP2,2005,462
SP2,2007,446
SP2,2008,462
SP2,2009,462
SP2,2010,462
SP2,2011,462
SP2,2012,462
SP2,2013,462
SP2,2014,462
SP2,2015,462
SP2,2016,462
SP2,2017,462
SP2,2018,462
SP2,2019,398
SP2,2020,526
SP2,2021,462
SP2,2022,462
SP2,2023,462
SP2,2024,462
SUI,2011,23
SUI,2012,156
SUI,2013,177
SUI,2014,183
SUI,2015,177
SUI,2016,184
SUI,2017,181
SUI,2018,183
SUI,2019,151
SUI,2020,203
SUI,2021,187
SUI,2022,194
SUI,2023,214
SUI,2024,60
SWE,2011,115
SWE,2012,259
SWE,2013,215
SWE,2014,240
SWE,2015,234
SWE,2016,256
SWE,2017,242
SWE,2018,257
SWE,2019,206
SWE,2020,234
SWE,2021,269
SWE,2022,242
SWE,2023,239
SWE,2024,102
T1,2000,306
T1,2001,306
T1,2002,130
T1,2003,306
T1,2004,306
T1,2005,306
T1,2006,290
T1,2007,306
T1,2008,306
T1,2010,306
T1,2011,306
T1,2012,306
T1,2013,306
T1,2014,306
T1,2015,306
T1,2016,306
T1,2017,306
T1,2018,306
T1,2019,261
T1,2020,465
T1,2021,380
T1,2022,342
T1,2023,380
T1,2024,314
USA,2011,172
USA,2012,333
USA,2013,324
USA,2014,358
USA,2015,352
USA,2016,393
USA,2017,377
USA,2018,436
USA,2019,267
USA,2020,448
USA,2021,547
USA,2022,514
USA,2023,535
USA,2024,177
