market,split,threshold,target,total_matches,yes_count,no_count,yes_rate,no_rate
red_cards,full,0.5,Over0.5,12528,2107,10421,0.16818326947637294,0.831816730523627
red_cards,train,0.5,Over0.5,9027,1530,7497,0.1694915254237288,0.8305084745762712
red_cards,validation,0.5,Over0.5,1752,290,1462,0.16552511415525115,0.8344748858447488
red_cards,test,0.5,Over0.5,1749,287,1462,0.16409376786735277,0.8359062321326473
red_cards,full,1.5,Over1.5,12528,277,12251,0.022110472541507026,0.977889527458493
red_cards,train,1.5,Over1.5,9027,201,8826,0.022266533732136922,0.9777334662678631
red_cards,validation,1.5,Over1.5,1752,40,1712,0.0228310502283105,0.9771689497716894
red_cards,test,1.5,Over1.5,1749,36,1713,0.02058319039451115,0.9794168096054888
