model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,experiment_type
logistic_c_0_05__balanced__threshold_tuned,train,0.5,0.6045197740112994,0.6047649369835966,0.6155502907602843,0.6316022099447514,0.6002940558706155,0.6092358180965776,0.6002940558706155,2599,1667,1903,2858,selected_threshold_tuned
logistic_c_0_05__balanced__threshold_tuned,validation,0.5,0.5896118721461188,0.5910227046994609,0.6064586754241926,0.6397228637413395,0.5764828303850156,0.6055625790139064,0.5764828303850156,479,312,407,554,selected_threshold_tuned
logistic_c_0_05__balanced__threshold_tuned,test,0.5,0.584333905088622,0.5839644457291516,0.6025150355385457,0.616331096196868,0.5893048128342246,0.5786240786240786,0.5893048128342246,471,343,384,551,selected_threshold_tuned
