feature_set,model,split,accuracy,balanced_accuracy,f1,precision,recall
v1_only,dummy_most_frequent,train,0.5391602968871164,0.5,0.7005901828127249,0.5391602968871164,1.0
v1_only,dummy_most_frequent,validation,0.5565068493150684,0.5,0.7150715071507151,0.5565068493150684,1.0
v1_only,dummy_most_frequent,test,0.5534591194968553,0.5,0.7125506072874493,0.5534591194968553,1.0
v1_only,logistic_regression,train,0.5962113659022931,0.5854695229647073,0.6586759059837063,0.6051273227804542,0.7226217382371071
v1_only,logistic_regression,validation,0.5353881278538812,0.5208830808830809,0.6086538461538461,0.5728506787330316,0.6492307692307693
v1_only,logistic_regression,test,0.5437392795883362,0.5335161797229659,0.6041666666666666,0.5811068702290076,0.6291322314049587
v1_only,random_forest_reference,train,0.9562423839592334,0.9557191485830792,0.9595411246543071,0.9566993464052288,0.9623998356276967
v1_only,random_forest_reference,validation,0.5622146118721462,0.5564854964854965,0.6068682726806766,0.6065573770491803,0.6071794871794872
v1_only,random_forest_reference,test,0.5368782161234992,0.5316464905133279,0.5811789038262668,0.5817805383022774,0.5805785123966942
v1_only,catboost_classifier,train,0.5810346737565083,0.5590511944650788,0.6836734693877551,0.5765270136831712,0.8397370043147729
v1_only,catboost_classifier,validation,0.5707762557077626,0.5376497376497377,0.6829679595278246,0.5798138869005011,0.8307692307692308
v1_only,catboost_classifier,test,0.5317324185248714,0.5011494587358863,0.6504481434058899,0.5541818181818182,0.7871900826446281
v1_btts_related,dummy_most_frequent,train,0.5391602968871164,0.5,0.7005901828127249,0.5391602968871164,1.0
v1_btts_related,dummy_most_frequent,validation,0.5565068493150684,0.5,0.7150715071507151,0.5565068493150684,1.0
v1_btts_related,dummy_most_frequent,test,0.5534591194968553,0.5,0.7125506072874493,0.5534591194968553,1.0
v1_btts_related,logistic_regression,train,0.5966544810014401,0.5858280748684231,0.6593694452240622,0.6052902782548952,0.7240599958906924
v1_btts_related,logistic_regression,validation,0.5291095890410958,0.5147193347193347,0.6027924891670678,0.5680580762250453,0.642051282051282
v1_btts_related,logistic_regression,test,0.5351629502572899,0.5258919217786056,0.5932966483241621,0.5751697381183317,0.612603305785124
v1_btts_related,random_forest_reference,train,0.9700897308075773,0.9696083118648354,0.9723587223587223,0.9689859212405632,0.9757550852681324
v1_btts_related,random_forest_reference,validation,0.5627853881278538,0.5555608355608356,0.6119554204660588,0.6046046046046046,0.6194871794871795
v1_btts_related,random_forest_reference,test,0.538021726700972,0.5320611686648818,0.5847893114080165,0.581799591002045,0.5878099173553719
v1_btts_related,catboost_classifier,train,0.5661903179350837,0.5473801682445354,0.6618891383180798,0.5708116157855547,0.7875487980275324
v1_btts_related,catboost_classifier,validation,0.5742009132420092,0.5442550242550243,0.6790017211703959,0.5848776871756857,0.8092307692307692
v1_btts_related,catboost_classifier,test,0.5260148656375071,0.499447095797928,0.6359244620114185,0.5530939648586708,0.7479338842975206
