model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,experiment_type
logistic_c_0_05__balanced__threshold_tuned,train,0.55,0.5526753074111,0.5712500839642174,0.44609053497942386,0.6710689228229467,0.3340867063899733,0.8084134615384615,0.3340867063899733,3363,797,3241,1626,selected_threshold_tuned
logistic_c_0_05__balanced__threshold_tuned,validation,0.55,0.5171232876712328,0.5422393822393823,0.42448979591836733,0.6303030303030303,0.32,0.7644787644787645,0.32,594,183,663,312,selected_threshold_tuned
logistic_c_0_05__balanced__threshold_tuned,test,0.55,0.5117209834190967,0.5357568967524153,0.41346153846153844,0.6168032786885246,0.3109504132231405,0.7605633802816901,0.3109504132231405,594,187,667,301,selected_threshold_tuned
