model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
logistic_c_0_3__yes_1_2,train,0.5,0.5830286917026698,0.5593639364795877,0.6902057613168724,0.5757242894411644,0.8615163344976371,0.25721153846153844,0.8615163344976371,1070,3090,674,4193,0.3,yes_1_2,logistic_tuning
logistic_c_0_3__yes_1_2,validation,0.5,0.5547945205479452,0.5198930798930799,0.674457429048414,0.5686136523574947,0.8287179487179487,0.21106821106821108,0.8287179487179487,164,613,167,808,0.3,yes_1_2,logistic_tuning
logistic_c_1_0__none,train,0.5,0.5962113659022931,0.5854695229647073,0.6586759059837063,0.6051273227804542,0.7226217382371071,0.4483173076923077,0.7226217382371071,1865,2295,1350,3517,1.0,none,logistic_tuning
logistic_c_1_0__none,validation,0.5,0.5353881278538812,0.5208830808830809,0.6086538461538461,0.5728506787330316,0.6492307692307693,0.39253539253539255,0.6492307692307693,305,472,342,633,1.0,none,logistic_tuning
logistic_c_1_0__balanced,train,0.5,0.5938850116317713,0.594154559355787,0.6106627017841971,0.6320070345130798,0.5907129648654201,0.5975961538461538,0.5907129648654201,2486,1674,1992,2875,1.0,balanced,logistic_tuning
logistic_c_1_0__balanced,validation,0.5,0.5108447488584474,0.5132066132066132,0.5283434232250963,0.5700712589073634,0.49230769230769234,0.5341055341055341,0.49230769230769234,415,362,495,480,1.0,balanced,logistic_tuning
logistic_c_1_0__no_1_2,train,0.5,0.5914478785864629,0.5934483462012612,0.5998263888888888,0.6355484019314785,0.5679063077871379,0.6189903846153846,0.5679063077871379,2575,1585,2103,2764,1.0,no_1_2,logistic_tuning
logistic_c_1_0__no_1_2,validation,0.5,0.5102739726027398,0.5143926343926344,0.5206703910614525,0.5717791411042945,0.47794871794871796,0.5508365508365508,0.47794871794871796,428,349,509,466,1.0,no_1_2,logistic_tuning
logistic_c_1_0__no_1_4,train,0.5,0.5690705660795392,0.5815483693161164,0.51375,0.6559208426428343,0.42223135401684814,0.7408653846153846,0.42223135401684814,3082,1078,2812,2055,1.0,no_1_4,logistic_tuning
logistic_c_1_0__no_1_4,validation,0.5,0.5,0.5199287199287199,0.4333764553686934,0.5866900175131349,0.3435897435897436,0.6962676962676962,0.3435897435897436,541,236,640,335,1.0,no_1_4,logistic_tuning
