model,split,accuracy,balanced_accuracy,macro_f1,home_recall,draw_recall,away_recall,feature_set
dummy_most_frequent,train,0.4343635759388501,0.3333333333333333,0.2018844609206055,1.0,0.0,0.0,v1_only
dummy_most_frequent,validation,0.4309360730593607,0.3333333333333333,0.20077117404600453,1.0,0.0,0.0,v1_only
dummy_most_frequent,test,0.4202401372212693,0.3333333333333333,0.1972624798711755,1.0,0.0,0.0,v1_only
logistic_regression,train,0.5379417303644621,0.5273980935744627,0.5249152063954989,0.5682223922468758,0.4372523117569353,0.5767195767195767,v1_only
logistic_regression,validation,0.509703196347032,0.4867962773708068,0.4859505860008911,0.6119205298013245,0.31101511879049676,0.5374531835205992,v1_only
logistic_regression,test,0.5065751858204688,0.4836074288924093,0.4836151251298118,0.5959183673469388,0.3219178082191781,0.5329861111111112,v1_only
random_forest_reference,train,0.8116760828625236,0.8083458800833467,0.8136622129839743,0.821219076766131,0.7798326728313518,0.8239858906525573,v1_only
random_forest_reference,validation,0.5365296803652968,0.49934113046832435,0.4827792537211258,0.6927152317880795,0.183585313174946,0.6217228464419475,v1_only
random_forest_reference,test,0.5265866209262435,0.48286082507584466,0.47155064261901725,0.6993197278911565,0.1780821917808219,0.5711805555555556,v1_only
catboost_classifier,train,0.572726265647502,0.5113902457613358,0.48302214236453594,0.8150981892374394,0.11448701012769705,0.6045855379188713,v1_only
catboost_classifier,validation,0.5507990867579908,0.4871984876227389,0.42414528822405884,0.8397350993377484,0.01511879049676026,0.6067415730337079,v1_only
catboost_classifier,test,0.5351629502572899,0.46705666475113644,0.4145120584758401,0.8326530612244898,0.02511415525114155,0.5434027777777778,v1_only
logistic_regression,train,0.5399357483106236,0.529214675082127,0.5267649491335201,0.5710277990308594,0.4381329810656099,0.5784832451499118,v1_btts_over
logistic_regression,validation,0.5091324200913242,0.48680720945256145,0.4857020919604142,0.6066225165562914,0.30885529157667385,0.5449438202247191,v1_btts_over
logistic_regression,test,0.501429388221841,0.4774302967001107,0.47737672510360046,0.5945578231292517,0.3082191780821918,0.5295138888888888,v1_btts_over
random_forest_reference,train,0.8281821203057494,0.8268051449988049,0.8312035326642567,0.8296352971180821,0.8102157639806252,0.8405643738977072,v1_btts_over
random_forest_reference,validation,0.5428082191780822,0.504293365288869,0.4876633531485595,0.7072847682119205,0.1857451403887689,0.6198501872659176,v1_btts_over
random_forest_reference,test,0.5351629502572899,0.4912229560774081,0.4791558966879066,0.7047619047619048,0.18036529680365296,0.5885416666666666,v1_btts_over
catboost_classifier,train,0.5653040877367896,0.5031788445513118,0.4695422130758522,0.8071920428462127,0.09423161602818142,0.6081128747795415,v1_btts_over
catboost_classifier,validation,0.547945205479452,0.48489525942471073,0.4216685922503376,0.833112582781457,0.012958963282937365,0.6086142322097379,v1_btts_over
catboost_classifier,test,0.5328759291023442,0.4647527542219323,0.41111368007296917,0.8285714285714286,0.02054794520547945,0.5451388888888888,v1_btts_over
logistic_regression,train,0.5422621025811455,0.5309740988677168,0.528636933150764,0.5761285386381025,0.4372523117569353,0.5795414462081129,v1_corners_yellow
logistic_regression,validation,0.4994292237442922,0.47682189919188483,0.47624779305423254,0.6,0.3023758099352052,0.5280898876404494,v1_corners_yellow
logistic_regression,test,0.5020011435105775,0.4755597425423746,0.47519197637708205,0.601360544217687,0.2853881278538813,0.5399305555555556,v1_corners_yellow
random_forest_reference,train,0.8557660352276504,0.8544989113305613,0.8600646908808077,0.8566692170364703,0.8383971818582122,0.8684303350970017,v1_corners_yellow
random_forest_reference,validation,0.5285388127853882,0.4871388558131809,0.465556253929757,0.704635761589404,0.14254859611231102,0.6142322097378277,v1_corners_yellow
random_forest_reference,test,0.5288736420811893,0.48253314643970224,0.46786012922766834,0.710204081632653,0.15753424657534246,0.5798611111111112,v1_corners_yellow
catboost_classifier,train,0.5819209039548022,0.5215468329674698,0.49521512406573914,0.8181586330017853,0.12637604579480405,0.6201058201058202,v1_corners_yellow
catboost_classifier,validation,0.5513698630136986,0.49059839361969276,0.4347479783284299,0.8251655629139073,0.032397408207343416,0.6142322097378277,v1_corners_yellow
catboost_classifier,test,0.5277301315037164,0.4611500688555483,0.4119649035641391,0.819047619047619,0.02968036529680365,0.5347222222222222,v1_corners_yellow
logistic_regression,train,0.5419297662567852,0.5309661254526549,0.5285167306309998,0.5743432797755674,0.43901365037428447,0.5795414462081129,full_v2
logistic_regression,validation,0.5057077625570776,0.48548086686586905,0.48508644956618613,0.5960264900662252,0.3304535637149028,0.5299625468164794,full_v2
logistic_regression,test,0.5037164093767867,0.4780033702978909,0.4784235767300317,0.6095238095238096,0.3036529680365297,0.5208333333333334,full_v2
random_forest_reference,train,0.8844577378974189,0.8838682273485512,0.8888137670980029,0.8834480999744962,0.8736239542051959,0.8945326278659612,full_v2
random_forest_reference,validation,0.5319634703196348,0.4911626154660957,0.46832554383539726,0.7033112582781457,0.1447084233261339,0.6254681647940075,full_v2
random_forest_reference,test,0.531160663236135,0.48505210112964514,0.4682907889439348,0.7020408163265306,0.1506849315068493,0.6024305555555556,full_v2
catboost_classifier,train,0.5937742328569846,0.5336606717607597,0.5111600972408643,0.8314205559806171,0.1448701012769705,0.6246913580246913,full_v2
catboost_classifier,validation,0.5473744292237442,0.48613313286302523,0.43118807490115696,0.8251655629139073,0.03023758099352052,0.602996254681648,full_v2
catboost_classifier,test,0.5317324185248714,0.4644607652802369,0.4129348212999777,0.8231292517006803,0.02511415525114155,0.5451388888888888,full_v2
