split,rows,date_min,date_max,seasons,home_goals_mean,away_goals_mean,total_goals_mean
train,9027,2018-08-10,2023-06-04,"2018,2019,2020,2021,2022",1.5337321369225656,1.2499169159189099,2.7836490528414757
validation,1752,2023-08-11,2024-06-02,2023,1.5918949771689497,1.292808219178082,2.884703196347032
test,1749,2024-08-15,2025-05-25,2024,1.5008576329331047,1.3259005145797598,2.8267581475128645
