feature_set,model,split,score_type,score,count,rate
v1_only,random_forest_reference,test,actual,1:1,215,0.12292738707833048
v1_only,random_forest_reference,test,actual,1:0,162,0.09262435677530018
v1_only,random_forest_reference,test,actual,2:1,147,0.08404802744425385
v1_only,random_forest_reference,test,actual,1:2,127,0.07261292166952545
v1_only,random_forest_reference,test,actual,0:1,124,0.07089765580331618
v1_only,random_forest_reference,test,actual,2:0,111,0.0634648370497427
v1_only,random_forest_reference,test,actual,2:2,106,0.06060606060606061
v1_only,random_forest_reference,test,actual,0:0,101,0.0577472841623785
v1_only,random_forest_reference,test,actual,0:2,101,0.0577472841623785
v1_only,random_forest_reference,test,actual,3:1,74,0.04230989136649514
v1_only,random_forest_reference,test,predicted,2:1,711,0.4065180102915952
v1_only,random_forest_reference,test,predicted,1:1,442,0.252715837621498
v1_only,random_forest_reference,test,predicted,1:2,352,0.20125786163522014
v1_only,random_forest_reference,test,predicted,3:1,114,0.06518010291595197
v1_only,random_forest_reference,test,predicted,2:2,96,0.0548885077186964
v1_only,random_forest_reference,test,predicted,1:3,22,0.012578616352201259
v1_only,random_forest_reference,test,predicted,4:1,5,0.002858776443682104
v1_only,random_forest_reference,test,predicted,2:0,3,0.0017152658662092624
v1_only,random_forest_reference,test,predicted,3:2,2,0.0011435105774728416
v1_only,random_forest_reference,test,predicted,5:1,1,0.0005717552887364208
v1_only,random_forest_reference,train,actual,1:1,1095,0.1213027583914922
v1_only,random_forest_reference,train,actual,1:0,809,0.08962002880248145
v1_only,random_forest_reference,train,actual,2:1,807,0.08939847125290794
v1_only,random_forest_reference,train,actual,0:1,653,0.0723385399357483
v1_only,random_forest_reference,train,actual,2:0,653,0.0723385399357483
v1_only,random_forest_reference,train,actual,1:2,641,0.0710091946383073
v1_only,random_forest_reference,train,actual,0:0,601,0.06657804364683727
v1_only,random_forest_reference,train,actual,2:2,474,0.05250913924891991
v1_only,random_forest_reference,train,actual,0:2,455,0.05040434252797164
v1_only,random_forest_reference,train,actual,3:1,377,0.04176359809460507
v1_only,random_forest_reference,train,predicted,1:1,2687,0.29766256785199957
v1_only,random_forest_reference,train,predicted,2:1,2241,0.24825523429710866
v1_only,random_forest_reference,train,predicted,1:2,1452,0.16085078099036224
v1_only,random_forest_reference,train,predicted,2:2,697,0.07721280602636535
v1_only,random_forest_reference,train,predicted,3:1,572,0.06336545917802149
